query,entity_name,entity_type,description,source_id,file_path,created_at
市民的個人化的 AI 助理可以分析甚麼事情?,Personalized AI Assistant,concept,A personalized AI assistant is a concept that provides individualized support to citizens by analyzing their lifestyle patterns.,chunk-197b44a9ab3ec13c1fc107b407614153,./inputs/公民AI助理的角色.txt,1760433011
市民的個人化的 AI 助理可以分析甚麼事情?,AI助理,concept,AI助理denotes artificial intelligence assistants that rely on the terminal system as their learning foundation.,chunk-fa9cb72811d1150610f44d9fef96caba,./inputs/雲端資料與城市模型.txt,1760432275
市民的個人化的 AI 助理可以分析甚麼事情?,Assistant,concept,"Assistant is a system or entity that detects urban traffic congestion and energy peaks.<SEP>Assistant refers to the entity providing lifestyle analysis, energy conservation, health recommendations, and travel advice based on the input text.",chunk-ec21914d8f0fba3cf115a0d1985925ef<SEP>chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433010
市民的個人化的 AI 助理可以分析甚麼事情?,Lifestyle Analysis,concept,Lifestyle Analysis refers to the examination of an individual's daily habits and routines to identify areas for improvement.,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433011
市民的個人化的 AI 助理可以分析甚麼事情?,個人行為,concept,Individual actions that interact with the cloud model to create a positive feedback loop with city operations.,chunk-67889f9c59eaba99a839486e0f8374c9,./inputs/公民AI助理的角色.txt,1760433010
市民的個人化的 AI 助理可以分析甚麼事情?,Report,content,"A report provided by AI, though the specific content is incomplete in the text.",chunk-d5edadc5b8bd3927a0b9de3fb2b64256,./inputs/政策與永續決策委員會.txt,1760433366
市民的個人化的 AI 助理可以分析甚麼事情?,AI,concept,"AI is a system that automatically adjusts power supply based on weather forecasts and city electricity usage.<SEP>AI refers to artificial intelligence systems responsible for managing the Energy Center in Future City.<SEP>The artificial intelligence that enables the system's autonomous navigation to the fast charging station.<SEP>An artificial intelligence system capable of adjusting based on traffic flow, energy demand, and weather conditions.<SEP>AI refers to artificial intelligence systems that provide reports or information, though the specific content is incomplete in the text.<SEP>AI refers to the system or technology that generates reports and model results for public access.",chunk-60efa47a9588fffe56a77d9403dbaa0b<SEP>chunk-780885d3488524aa612424d934a12bea<SEP>chunk-98edab2bedb985603fbc7f84904fcf81<SEP>chunk-cd1c19cf4e7a3c4c12828f8710a1bf49<SEP>chunk-d77b85f67d8545f7d9d9d0c2f08951f8<SEP>chunk-d5edadc5b8bd3927a0b9de3fb2b64256,./inputs/能源中心與智慧電網.txt<SEP>./inputs/自駕交通與能源整合.txt<SEP>./inputs/政策與永續決策委員會.txt,1760433366
市民的個人化的 AI 助理可以分析甚麼事情?,Automatic Power Adjustment,method,Automatic power adjustment is a method employed by AI to manage power supply based on weather forecasts and city electricity usage.,chunk-98edab2bedb985603fbc7f84904fcf81,./inputs/能源中心與智慧電網.txt,1760432230
市民的個人化的 AI 助理可以分析甚麼事情?,Model,concept,A subject whose changes are being observed.,chunk-1ab307d7c9fb2e7390c131fecbbb093c,./inputs/雲端資料與城市模型.txt,1760432275
市民的個人化的 AI 助理可以分析甚麼事情?,Weather Forecast,data,Weather forecast is data used by AI to adjust power supply.,chunk-98edab2bedb985603fbc7f84904fcf81,./inputs/能源中心與智慧電網.txt,1760432230
