query,src_id,tgt_id,description,keywords,weight,source_id,file_path,created_at
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Reports,AI produces reports that are made available for citizens to review.,"information generation,public access",1.0,chunk-60efa47a9588fffe56a77d9403dbaa0b,./inputs/政策與永續決策委員會.txt,1760433366
市民的個人化的 AI 助理可以分析甚麼事情?,Citizen,Personalized AI Assistant,A citizen is associated with a personalized AI assistant that is tailored to their specific needs and behaviors.,"individualization,ownership",1.0,chunk-197b44a9ab3ec13c1fc107b407614153,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,AI,能源需求,AI considers energy demand when making adjustments.,"adjustment factor,energy demand consideration",1.0,chunk-d77b85f67d8545f7d9d9d0c2f08951f8,./inputs/自駕交通與能源整合.txt,1760432938
市民的個人化的 AI 助理可以分析甚麼事情?,Lifestyle Pattern,Personalized AI Assistant,A personalized AI assistant is capable of analyzing an individual's lifestyle pattern to provide insights and support.,"analysis,data processing",1.0,chunk-197b44a9ab3ec13c1fc107b407614153,./inputs/公民AI助理的角色.txt,1760433013
市民的個人化的 AI 助理可以分析甚麼事情?,Committee,New Regulations,The Committee is able to predict the effects of New Regulations on various domains.,"prediction,regulatory analysis",1.0,chunk-de69eaf6daa940c78737f99950efcf1d,./inputs/政策與永續決策委員會.txt,1760433367
市民的個人化的 AI 助理可以分析甚麼事情?,Assistant,Lifestyle Analysis,"Assistant conducts lifestyle analysis to inform energy conservation, health, and travel recommendations.","analysis execution,recommendation basis",1.0,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433013
市民的個人化的 AI 助理可以分析甚麼事情?,Citizens' Lives,Committee,The Committee anticipates the effects of New Regulations on the daily lives of citizens.,"regulatory forecasting,societal impact",1.0,chunk-de69eaf6daa940c78737f99950efcf1d,./inputs/政策與永續決策委員會.txt,1760433367
市民的個人化的 AI 助理可以分析甚麼事情?,個人行為,雲端模型,The cloud model's synchronization updates directly influence individual behavior.,"feedback mechanism,synchronization update",1.0,chunk-67889f9c59eaba99a839486e0f8374c9,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Report,"AI is associated with providing reports or information, as indicated in the text.","information provision,technological support",1.0,chunk-d5edadc5b8bd3927a0b9de3fb2b64256,./inputs/政策與永續決策委員會.txt,1760433368
市民的個人化的 AI 助理可以分析甚麼事情?,個人行為,整體城市運作,Individual behavior and overall city operations mutually reinforce each other through the cloud model's updates.,"interdependence,positive feedback",1.0,chunk-67889f9c59eaba99a839486e0f8374c9,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Decision-Making Process,AI is associated with providing reports or information that supports the decision-making process.,"information provision,technological support",1.0,chunk-d5edadc5b8bd3927a0b9de3fb2b64256,./inputs/政策與永續決策委員會.txt,1760433367
市民的個人化的 AI 助理可以分析甚麼事情?,Population Activities,Trend,"Trends and population activities are interconnected, with trends reflecting changes in population behaviors.","demographic analysis,interrelated concepts",1.0,chunk-0db6d0e150ebb29a169cbf3ed947c162,./inputs/雲端資料與城市模型.txt,1760432276
市民的個人化的 AI 助理可以分析甚麼事情?,AI助理,端系統,端系統provides the foundational structure upon which AI助理's learning processes are based.,"dependency,learning foundation",1.0,chunk-fa9cb72811d1150610f44d9fef96caba,./inputs/雲端資料與城市模型.txt,1760432275
市民的個人化的 AI 助理可以分析甚麼事情?,Policy Makers,Population Activities,Policy makers address population activities through data analysis supported by graphical instruments.,"decision-making,policy context",1.0,chunk-0db6d0e150ebb29a169cbf3ed947c162,./inputs/雲端資料與城市模型.txt,1760432276
市民的個人化的 AI 助理可以分析甚麼事情?,Assistant,Health Recommendations,Assistant delivers health recommendations tailored to individual lifestyle patterns.,"advice provision,wellness",1.0,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Demand,Mobility Efficiency,Demand influences the coordination of mobility efficiency within the entire city.,"coordination,urban planning",1.0,chunk-92ce7e2ac1ee827e24cbddcd0827d402,./inputs/自駕交通與能源整合.txt,1760432937
市民的個人化的 AI 助理可以分析甚麼事情?,Assistants,City Cloud Model,Assistants synchronize with the City Cloud Model to coordinate electricity usage adjustments.,"integration,synchronization",1.0,chunk-5b01ab536505f871246e840bf6212428,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Graphical Instrument,Policy Makers,Policy makers employ graphical instruments to aid in the formulation of policies and strategies.,"decision support,tool usage",1.0,chunk-0db6d0e150ebb29a169cbf3ed947c162,./inputs/雲端資料與城市模型.txt,1760432276
市民的個人化的 AI 助理可以分析甚麼事情?,AI,City Electricity Usage,AI utilizes city electricity usage data to adjust power supply.,"data usage,power adjustment",1.0,chunk-98edab2bedb985603fbc7f84904fcf81,./inputs/能源中心與智慧電網.txt,1760432233
市民的個人化的 AI 助理可以分析甚麼事情?,Citizens,Reports,Reports are provided to citizens as a means of transparency.,"information sharing,public availability",1.0,chunk-60efa47a9588fffe56a77d9403dbaa0b,./inputs/政策與永續決策委員會.txt,1760433367
市民的個人化的 AI 助理可以分析甚麼事情?,Platform,Policy,The Platform serves as a mechanism for creating and refining Policy.,"instrumentality,regulatory development",1.0,chunk-0e448ab5dd5060530851a569d04fa8c2,./inputs/政策與永續決策委員會.txt,1760433366
市民的個人化的 AI 助理可以分析甚麼事情?,城市的永續發展委員會,政策,The Urban Sustainability Committee formulates policies using the AI simulation platform.,"formulation,policy-making",1.0,chunk-f9da756f2ddae291698775218f4a8106,./inputs/政策與永續決策委員會.txt,1760433367
